Total: 364
Published: 0
Pending: 0
Other statuses: 364

Other statuses:
  Semana 5, Dia 3, status: aprovado, id: 45bd3db8-753f-47a4-bbf8-06c789891629
  Semana 9, Dia 3, status: aprovado, id: 911ef430-a890-496a-9c64-6fef153d927a
  Semana 3, Dia 1, status: aprovado, id: a0b10c07-bd52-4a68-b1d8-0a5a4a1ac99c
  Semana 1, Dia 4, status: aprovado, id: 8fd7580e-a241-48da-bf76-6ccbab4d6fa6
  Semana 5, Dia 4, status: aprovado, id: 75ca9b51-6e9d-41f6-8585-f11fabd97a41
  Semana 12, Dia 1, status: aprovado, id: c7579097-7c1b-4ee0-ba50-415cb8f22276
  Semana 2, Dia 7, status: aprovado, id: a7fa530d-a952-4e9a-a042-39ae3186bcd6
  Semana 5, Dia 5, status: aprovado, id: 0fd17c10-56a3-49b6-a469-4f3e18bbde17
  Semana 2, Dia 1, status: aprovado, id: 07900811-bd76-45a9-846c-f548b20ab852
  Semana 12, Dia 3, status: aprovado, id: 3144c9f6-7708-43a7-bba2-ed1fcc479edf
  Semana 5, Dia 6, status: aprovado, id: e570d66d-1ba1-46d8-9443-81b56e1ba3c3
  Semana 3, Dia 2, status: aprovado, id: 3bbb6515-a7ef-4b1a-8de2-c024e3c2459d
  Semana 4, Dia 1, status: aprovado, id: 2cf639c6-907c-484a-9019-d210d2d3edcc
  Semana 5, Dia 7, status: aprovado, id: 6f513e9a-fa95-44a9-bf0b-c2a3a70c93d5
  Semana 3, Dia 3, status: aprovado, id: 376190f3-78d1-4865-a17f-dd4ec75b264f
  Semana 4, Dia 2, status: aprovado, id: 60ce623d-9ef0-41d2-b174-e055dbf72939
  Semana 4, Dia 6, status: aprovado, id: 2ad30211-5e7d-4900-8f8e-0dcd6b06d1ad
  Semana 3, Dia 4, status: aprovado, id: e6b8bc1e-b139-411a-90a3-95fd918cb021
  Semana 4, Dia 3, status: aprovado, id: 51f649cf-aa8a-4905-9bfa-bb1f616af63a
  Semana 3, Dia 5, status: aprovado, id: 030bac68-74b4-48a3-bb30-bb317b3a3683
  Semana 6, Dia 1, status: aprovado, id: 441e47e4-3e06-4521-ada0-264efd24fe04
  Semana 6, Dia 2, status: aprovado, id: 2a0da341-ecb6-41e3-a591-90e238edfe1c
  Semana 4, Dia 4, status: aprovado, id: a49dab9a-1ec3-4701-bb4f-bfd53c1043e7
  Semana 3, Dia 6, status: aprovado, id: e3a883e1-7c04-4feb-9710-715a56b9a9a0
  Semana 7, Dia 1, status: aprovado, id: a5e918af-3f95-4367-ae45-a49ed71a6eec
  Semana 6, Dia 3, status: aprovado, id: ae4e3e0f-44c4-4b2e-b7ae-4fd50b3b5168
  Semana 4, Dia 5, status: aprovado, id: bc094aa2-8b7c-4a76-9cfd-1ecee0926bb4
  Semana 6, Dia 4, status: aprovado, id: 9b7ef56b-f0d4-4298-a41a-a6f79131a71b
  Semana 4, Dia 7, status: aprovado, id: 3c07d611-6ec9-4f3d-861c-186ebc82da6a
  Semana 5, Dia 1, status: aprovado, id: 7340a202-42ab-4fe4-9d19-19e736efd5be
  Semana 5, Dia 2, status: aprovado, id: 9b2a6814-02fd-474e-93ee-ffe7ba0573cb
  Semana 2, Dia 2, status: aprovado, id: 756ee18a-19a3-41b6-8418-96520b68dbac
  Semana 2, Dia 3, status: aprovado, id: 2ded3c6d-0e04-4d59-8df1-46eea8dfce70
  Semana 2, Dia 4, status: aprovado, id: 03348bb7-5177-4d72-93ed-9f271d698221
  Semana 2, Dia 5, status: aprovado, id: afa27247-c515-42a7-b876-b44c256cbba9
  Semana 27, Dia 6, status: aprovado, id: c72143c2-cde2-46a2-93ff-14922b6e3f08
  Semana 9, Dia 7, status: aprovado, id: ff0f2c53-6ff1-4b61-86d0-51ce16a0438e
  Semana 17, Dia 7, status: aprovado, id: e0a6c5ff-e1f0-4e70-8e7a-4a78fd1bd62f
  Semana 10, Dia 2, status: aprovado, id: 5986c3b9-2412-417f-92d3-88571e8874bd
  Semana 10, Dia 1, status: aprovado, id: 597c2cd0-1e8a-43cf-9212-ef8fc652cee5
  Semana 7, Dia 2, status: aprovado, id: 85c0416b-cf5c-4669-a8a4-7e5c980acb0c
  Semana 10, Dia 5, status: aprovado, id: 43081a6c-3c40-4664-a066-533445485507
  Semana 7, Dia 3, status: aprovado, id: fa376f0c-8424-4d71-8bde-7b8f62b85f08
  Semana 11, Dia 1, status: aprovado, id: 5de0eb37-1915-4ea3-9192-3a8681af254f
  Semana 7, Dia 6, status: aprovado, id: 73f0e3cc-83e3-4f63-ad2b-df4b35cec845
  Semana 11, Dia 5, status: aprovado, id: 3b13bc53-4fdf-4369-ab27-aa6748994586
  Semana 7, Dia 7, status: aprovado, id: 11bcc244-61cf-47e1-80cf-02327063234b
  Semana 6, Dia 6, status: aprovado, id: 5c04f8c3-1d22-4511-8282-d2f00b3fa5cd
  Semana 8, Dia 1, status: aprovado, id: c8e215bd-754a-47bc-a2e1-8f613f92b708
  Semana 10, Dia 3, status: aprovado, id: f54ad071-1c7f-4799-9a92-11d2605dd3de
  Semana 11, Dia 6, status: aprovado, id: 64176701-96fa-4f90-be20-9c80a68340e0
  Semana 6, Dia 7, status: aprovado, id: 288d4234-657c-4eb9-9708-360af8f6e3c1
  Semana 10, Dia 4, status: aprovado, id: 1f636fd7-41b2-4974-a4db-793b446fb4b3
  Semana 8, Dia 2, status: aprovado, id: d47521c1-f3c9-4939-8b4b-0163e94208df
  Semana 8, Dia 3, status: aprovado, id: 938d35af-ccba-4477-878b-7b059809b0a5
  Semana 10, Dia 6, status: aprovado, id: 908498d5-3bd0-42e9-893a-29e314a65941
  Semana 8, Dia 4, status: aprovado, id: 81d3f5bf-49d9-41d6-a1e4-c3708cb01d19
  Semana 7, Dia 4, status: aprovado, id: 92dd5dbf-c97b-4529-b801-c796313c2bd6
  Semana 10, Dia 7, status: aprovado, id: bd833886-6960-485f-970d-95b53108594c
  Semana 8, Dia 5, status: aprovado, id: fc5e1040-e7ae-454e-937c-b0ed2c5a0048
  Semana 8, Dia 6, status: aprovado, id: f3a41f75-56eb-4e81-ae5b-ce33fa7b1b79
  Semana 8, Dia 7, status: aprovado, id: d9fef404-604f-45a2-8cf9-1200764f06ac
  Semana 11, Dia 2, status: aprovado, id: ea55d1b8-f730-4d2d-a44f-7d2e022d44b4
  Semana 9, Dia 1, status: aprovado, id: 6b0f4d88-7902-4214-a7b1-c054253780f2
  Semana 11, Dia 3, status: aprovado, id: bc027ea2-4ea0-4d95-b12a-425a2397954e
